"Cost","Gamma","Accuracy","AUC"
32,0.00390625,0.707692307692308,0.574195563886286
8,0.015625,0.707692307692308,0.574195563886286
512,0.125,0.642307692307692,0.575367072789753
16,0.0625,0.665384615384615,0.57583567635114
32,0.03125,0.673076923076923,0.575991877538269
8,0.0078125,0.742307692307692,0.57739768822243
512,0.03125,0.638461538461538,0.577788191190253
128,0.0625,0.653846153846154,0.578100593564511
1024,0.03125,0.642307692307692,0.580365510777882
256,0.0625,0.65,0.580521711965011
8,0.25,0.657692307692308,0.58067791315214
8,0.125,0.665384615384615,0.580834114339269
0.5,0.5,0.680769230769231,0.581146516713527
1024,0.000244140625,0.688461538461538,0.581302717900656
512,0.00048828125,0.688461538461538,0.581302717900656
1024,0.00048828125,0.688461538461538,0.581302717900656
256,0.0009765625,0.688461538461538,0.581302717900656
512,0.0009765625,0.688461538461538,0.581302717900656
64,0.00390625,0.688461538461538,0.581302717900656
2,0.0625,0.711538461538462,0.581771321462043
0.5,0.125,0.719230769230769,0.581927522649172
256,0.125,0.665384615384615,0.585832552327398
64,0.25,0.673076923076923,0.585988753514527
1,0.25,0.680769230769231,0.586144954701656
256,0.001953125,0.688461538461538,0.586301155888785
128,0.001953125,0.696153846153846,0.586457357075914
1024,0.0078125,0.661538461538462,0.588253670727898
128,0.125,0.661538461538462,0.588253670727898
4,0.03125,0.723076923076923,0.58950328022493
8,0.0625,0.680769230769231,0.591143392689784
32,0.125,0.680769230769231,0.591143392689784
128,0.00390625,0.696153846153846,0.591455795064042
8,0.03125,0.696153846153846,0.591455795064042
128,0.03125,0.646153846153846,0.592939706341768
32,1,0.653846153846154,0.593095907528897
32,0.0625,0.676923076923077,0.593564511090284
1024,0.0009765625,0.692307692307692,0.593876913464542
512,0.001953125,0.692307692307692,0.593876913464542
4,0.25,0.665384615384615,0.595829428303655
32,0.015625,0.692307692307692,0.598875351452671
512,0.00390625,0.7,0.5990315526398
4,0.125,0.680769230769231,0.601140268666042
256,0.0078125,0.696153846153846,0.6014526710403
32,0.0078125,0.711538461538462,0.601765073414558
1024,0.015625,0.669230769230769,0.603405185879413
512,0.015625,0.684615384615385,0.603717588253671
1024,0.00390625,0.7,0.604029990627929
64,0.0078125,0.7,0.604029990627929
4,0.0625,0.7,0.604029990627929
16,0.015625,0.715384615384615,0.604342393002187
128,0.0078125,0.711538461538462,0.606763511402687
1024,0.0625,0.676923076923077,0.60855982505467
256,0.00390625,0.707692307692308,0.609184629803187
1,0.125,0.711538461538462,0.611761949390815
64,0.015625,0.711538461538462,0.621758825367073
256,0.015625,0.7,0.629022180568572
16,0.03125,0.7,0.629022180568572
